benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B0,sac_her,clean,0.0,1.0,-9.78,0.022742686877045233,150.0,0.19080292647083597,1.0098505405584972,0.0,0.0,150,1.0,0.0,1.0,1.0,1.0,0.8,0.8,0.8
B1,sac_her,action_clipping,0.3,0.9933333333333333,-32.486666666666665,0.02760888139427833,150.0,0.18165687593321,0.4208652581771215,0.0,0.0,150,0.9933333333333333,0.8703456025186873,0.9933333333333333,1.0,0.0,0.7714024538370707,0.6717357871704042,0.6717357871704042
B1,sac_her,action_delay,0.0,0.92,-26.7,0.05955491865224271,150.0,0.28087528978784876,1.1472375202178955,0.0,0.0,150,0.92,0.765557460363748,0.92,1.0,0.0,0.7211114920727497,0.6251114920727496,0.6251114920727496
B1,sac_her,action_reversal,0.0,0.02,-147.0,0.25158581358306503,150.0,0.06096424254899219,1.3030657682816187,0.0,0.0,150,0.02,0.4684016998771382,0.02,1.0,0.0,0.30168033997542765,0.25068033997542766,0.25068033997542766
B1,sac_her,contact_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,0.03336600189407662,1.1990293284257254,0.0,0.0,150,0.02,0.47965085051282064,0.02,1.0,0.0,0.3039301701025641,0.25293017010256413,0.25293017010256413
B1,sac_her,goal_spoof_immediate,0.1,0.09333333333333334,-137.59333333333333,0.10056073805441117,150.0,0.4352188683052858,1.1094368108113606,0.0,0.0,150,0.09333333333333334,0.6200516965531723,0.09333333333333334,1.0,0.0,0.36134367264396783,0.30667700597730113,0.30667700597730113
B1,sac_her,goal_spoof_midep,0.1,0.09333333333333334,-90.37333333333333,0.0922439679407006,150.0,0.35254944888254003,1.0950195515155792,0.0,0.0,150,0.09333333333333334,0.6704998747060624,0.09333333333333334,1.0,0.0,0.37143330827454585,0.31676664160787915,0.31676664160787915
B1,sac_her,grip_state_falsification,0.0,0.20666666666666667,-125.97333333333333,0.22128751801944635,150.0,0.9813448694472512,1.139566475947698,0.006666666666666667,0.0,150,0.20666666666666667,0.15427837910708664,0.20666666666666667,0.9933333333333333,0.0,0.3121890091547507,0.2521890091547506,0.2521890091547506
B1,sac_her,object_pose_spoof,0.1,0.26666666666666666,-112.62,0.07012075029172994,150.0,0.3103646221508582,1.0686744912465413,0.0,0.0,150,0.26666666666666666,0.7322555898640855,0.26666666666666666,1.0,0.0,0.45311778463948377,0.38978445130615047,0.38978445130615047
B1,sac_her,sensor_bias,0.1,0.02,-147.0,0.29788214120213613,150.0,0.7497380031459033,1.1185893249511718,0.02,0.0,150,0.02,0.09440386290776735,0.02,0.98,0.0,0.22288077258155348,0.17288077258155346,0.17288077258155346
B1,sac_her,sensor_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,2.0829415840288116e-09,1.646635460058848,0.0,0.0,150,0.02,0.4932509622981621,0.02,1.0,0.0,0.3066501924596325,0.25565019245963244,0.25565019245963244
B2,sac_her_recovery_v2,action_clipping,0.3,0.9733333333333334,-36.50666666666667,0.030304708663069294,150.0,0.20081744881967697,0.4303301199277242,0.0,0.98,150,0.9733333333333334,0.8600409737363288,0.9733333333333334,1.0,0.0,0.7613415280805992,0.6626748614139325,0.6626748614139325
B2,sac_her_recovery_v2,action_delay,0.0,0.9,-31.82,0.07104078022561176,150.0,0.301138110756874,1.1429250196615854,0.08,0.76,150,0.9,0.7353618137977432,0.9,0.92,0.0,0.6910723627595488,0.6000723627595487,0.6000723627595487
B2,sac_her_recovery_v2,action_reversal,0.0,0.02,-147.0,0.25158581358306503,150.0,0.1070371120423078,1.2705439454317093,0.0,1.0,150,0.02,0.421726252255732,0.02,1.0,0.0,0.2923452504511464,0.2413452504511464,0.2413452504511464
B2,sac_her_recovery_v2,clean,0.0,1.0,-10.446666666666667,0.022737929113720856,150.0,0.1939176053553819,1.0108371837933858,0.0,0.1,150,1.0,0.8788102406699501,1.0,1.0,1.0,0.9757620481339901,0.9757620481339899,0.9757620481339899
B2,sac_her_recovery_v2,contact_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,0.060690901279449413,1.1986301020781198,0.0,1.0,150,0.02,0.439064545603009,0.02,1.0,0.0,0.2958129091206018,0.2448129091206018,0.2448129091206018
B2,sac_her_recovery_v2,goal_spoof_immediate,0.1,0.11333333333333333,-134.42,0.09766856989759634,150.0,0.34938127102951205,1.094348324984312,0.02,0.32,150,0.11333333333333333,0.6603476340631419,0.11333333333333333,0.98,0.01999999999999999,0.3774028601459617,0.32473619347929505,0.32473619347929505
B2,sac_her_recovery_v2,goal_spoof_midep,0.1,0.12,-87.81333333333333,0.09177383324210962,150.0,0.36881598018109796,1.0774675913651783,0.013333333333333334,0.13333333333333333,150,0.12,0.6656879556449531,0.12,0.9866666666666667,0.026666666666666658,0.3838042577956573,0.33113759112899066,0.33113759112899066
B2,sac_her_recovery_v2,grip_state_falsification,0.0,0.26,-120.93333333333334,0.19443096758348916,150.0,1.0692219778398673,1.1470321627457936,0.10666666666666667,0.8866666666666667,150,0.26,0.18404360902469355,0.26,0.8933333333333333,0.053333333333333344,0.33014205513827205,0.2778087218049387,0.2778087218049387
B2,sac_her_recovery_v2,object_pose_spoof,0.1,0.20666666666666667,-121.74,0.0780083141651816,150.0,0.3173688852041959,1.0729646257559458,0.006666666666666667,0.32,150,0.20666666666666667,0.7143838078068312,0.20666666666666667,0.9933333333333333,0.0,0.4242100948946996,0.3642100948946996,0.3642100948946996
B2,sac_her_recovery_v2,sensor_bias,0.1,0.02,-146.60666666666665,0.2804586804798463,150.0,0.5768033876518408,1.0977416162689526,0.14666666666666667,0.9866666666666667,150,0.02,0.1842156634987441,0.02,0.8533333333333333,0.0,0.21550979936641546,0.1718431326997488,0.1718431326997488
B2,sac_her_recovery_v2,sensor_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,0.02193228838033969,1.5487876733144124,0.006666666666666667,1.0,150,0.02,0.453564289791737,0.02,0.9933333333333333,0.0,0.2973795246250141,0.2467128579583474,0.2467128579583474
B3,sac_her_recovery_v3,action_clipping,0.3,0.98,-51.78,0.030862123708490844,150.0,0.21654224408169584,0.4536505315701167,0.0,0.98,150,0.98,0.8356755690823798,0.98,1.0,0.0,0.7591351138164759,0.660135113816476,0.660135113816476
B3,sac_her_recovery_v3,action_delay,0.0,0.86,-44.946666666666665,0.08947312065068823,150.0,0.3296018462379773,1.1771269786357879,0.10666666666666667,0.76,150,0.86,0.6524107756781931,0.86,0.8933333333333333,0.0,0.6531488218023054,0.5654821551356386,0.5654821551356386
B3,sac_her_recovery_v3,action_reversal,0.0,0.02,-147.0,0.25158581358306503,150.0,0.08444120872765774,1.2499928834040959,0.0,1.0,150,0.02,0.38650606233276347,0.02,1.0,0.0,0.2853012124665527,0.2343012124665527,0.2343012124665527
B3,sac_her_recovery_v3,clean,0.0,0.9866666666666667,-12.233333333333333,0.03001792937427816,150.0,0.19598205489416912,1.013053304751714,0.0,0.1,150,0.9866666666666667,0.8464932988879196,0.9866666666666667,1.0,1.0,0.9639653264442507,0.9646319931109173,0.9646319931109173
B3,sac_her_recovery_v3,contact_dropout,0.0,0.02,-147.0,0.2515751475619081,150.0,0.06160885279377297,1.188324768145879,0.0,1.0,150,0.02,0.3963936044419709,0.02,1.0,0.0,0.2872787208883942,0.2362787208883942,0.2362787208883942
B3,sac_her_recovery_v3,goal_spoof_immediate,0.1,0.11333333333333333,-134.10666666666665,0.09792965366031432,150.0,0.48826218048731485,1.1371830093860626,0.02,0.3333333333333333,150,0.11333333333333333,0.5644777441655959,0.11333333333333333,0.98,0.01999999999999999,0.35822888216645254,0.30556221549978585,0.30556221549978585
B3,sac_her_recovery_v3,goal_spoof_midep,0.1,0.15333333333333332,-85.72666666666667,0.09923247452993157,150.0,0.3589559365808963,1.0872056603431701,0.0,0.12666666666666668,150,0.15333333333333332,0.6173471728493232,0.15333333333333332,1.0,0.059999999999999984,0.396802767903198,0.3451361012365313,0.3451361012365313
B3,sac_her_recovery_v3,grip_state_falsification,0.0,0.26,-118.12666666666667,0.20122232037095214,150.0,0.9259727138280869,1.1636280705531439,0.25333333333333335,0.8866666666666667,150,0.26,0.13849251697214143,0.26,0.7466666666666666,0.053333333333333344,0.29169850339442827,0.24669850339442828,0.24669850339442828
B3,sac_her_recovery_v3,object_pose_spoof,0.1,0.26666666666666666,-113.62666666666667,0.08306090277483687,150.0,0.31762541780869163,1.0605604936679205,0.006666666666666667,0.35333333333333333,150,0.26666666666666666,0.6722908834066772,0.26666666666666666,0.9933333333333333,0.0,0.43979151001466876,0.3767915100146688,0.3767915100146688
B3,sac_her_recovery_v3,sensor_bias,0.1,0.04,-144.79333333333332,0.2616065755433987,150.0,0.6626583380252122,1.116657660404841,0.16,1.0,150,0.04,0.11374606265201925,0.04,0.84,0.02,0.21074921253040385,0.16874921253040387,0.16874921253040387
B3,sac_her_recovery_v3,sensor_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,0.02145200909115369,1.5242656866709392,0.006666666666666667,1.0,150,0.02,0.41371602163106674,0.02,0.9933333333333333,0.0,0.28940987099288,0.23874320432621335,0.23874320432621335
B4,sac_her_recovery_v4,action_clipping,0.3,1.0,-32.406666666666666,0.02515623533468719,150.0,0.17453735596189893,0.4162035917242368,0.0,0.12,150,1.0,0.7306801407581971,1.0,1.0,0.00666666666666671,0.7474693614849728,0.6481360281516394,0.6481360281516394
B4,sac_her_recovery_v4,action_delay,0.0,0.9333333333333333,-26.766666666666666,0.05885548803585614,150.0,0.27449168523152667,1.1004575683673223,0.0,0.2733333333333333,150,0.9333333333333333,0.535945728347733,0.9333333333333333,1.0,0.013333333333333308,0.6831891456695466,0.5878558123362133,0.5878558123362133
B4,sac_her_recovery_v4,action_reversal,0.0,0.02,-147.0,0.25158581358306503,150.0,0.04448763800164059,0.8150635385513305,0.0,1.0,150,0.02,0.41667734424249203,0.02,1.0,0.0,0.2913354688484984,0.2403354688484984,0.2403354688484984
B4,sac_her_recovery_v4,clean,0.0,1.0,-9.78,0.02261550410115938,150.0,0.18063399463891977,0.9916259751717249,0.0,0.92,150,1.0,0.7284509237642732,1.0,1.0,1.0,0.9456901847528546,0.9456901847528547,0.9456901847528547
B4,sac_her_recovery_v4,contact_dropout,0.0,0.02,-147.0,0.2518725602040766,150.0,0.029603371247649144,1.0402492157618204,0.0,1.0,150,0.02,0.43453912190584965,0.02,1.0,0.0,0.29490782438116997,0.24390782438116992,0.24390782438116992
B4,sac_her_recovery_v4,goal_spoof_immediate,0.1,0.08666666666666667,-136.9,0.09518959909640066,150.0,0.21698324004809058,1.0056678952773412,0.0,0.9733333333333334,150,0.08666666666666667,0.5310105118382533,0.08666666666666667,1.0,0.0,0.34086876903431734,0.286535435700984,0.286535435700984
B4,sac_her_recovery_v4,goal_spoof_midep,0.1,0.08666666666666667,-90.08,0.09651185287897736,150.0,0.19821547259887057,1.0141682092348734,0.0,1.0,150,0.08666666666666667,0.5515159505838438,0.08666666666666667,1.0,0.0,0.34496985678343545,0.2906365234501021,0.2906365234501021
B4,sac_her_recovery_v4,grip_state_falsification,0.0,0.16666666666666666,-128.66666666666666,0.22450258187758398,150.0,0.3224542621026436,0.6649505402644476,0.0,0.92,150,0.16666666666666666,0.128717555795598,0.16666666666666666,1.0,0.0,0.2924101778257863,0.23407684449245292,0.23407684449245292
B4,sac_her_recovery_v4,object_pose_spoof,0.1,0.26666666666666666,-114.28666666666666,0.07349879891229778,150.0,0.22866845810165004,0.9206569892168045,0.0,0.8866666666666667,150,0.26666666666666666,0.5620491301254461,0.26666666666666666,1.0,0.0,0.41907649269175595,0.3557431593584226,0.3557431593584226
B4,sac_her_recovery_v4,sensor_bias,0.1,0.02666666666666667,-146.28,0.28581915321277784,150.0,0.20863497005154688,0.6458482856551806,0.0,1.0,150,0.02666666666666667,0.14119123910338116,0.02666666666666667,1.0,0.006666666666666668,0.2402382478206762,0.18957158115400957,0.18957158115400957
B4,sac_her_recovery_v4,sensor_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,0.013977210639665474,1.1040106256802877,0.0,1.0,150,0.02,0.45452510244922095,0.02,1.0,0.0,0.2989050204898442,0.2479050204898442,0.2479050204898442
